STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,year
63740099999,2015-02-25,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.8,23,48.0,23,9999.9,0,999.9,0,6.9,17,6.9,23,13.0,999.9,87.8, ,57.2, ,0.0,I,999.9,0,2015
63740099999,2015-02-26,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",73.9,24,50.2,24,9999.9,0,999.9,0,8.0,22,9.4,24,22.9,999.9,87.8,*,56.3, ,0.0,I,999.9,0,2015
63740099999,2015-02-27,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.7,24,52.1,24,9999.9,0,999.9,0,9.8,21,9.9,24,18.1,28.0,86.7, ,59.4, ,0.0,I,999.9,0,2015
63740099999,2015-02-28,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.8,22,47.4,22,9999.9,0,999.9,0,7.2,12,9.0,22,20.0,31.1,86.4,*,57.4, ,0.0,I,999.9,0,2015
63740099999,2015-03-01,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",73.1,23,47.6,23,9999.9,0,999.9,0,10.8,15,7.6,23,15.0,19.0,88.0, ,53.2, ,0.0,I,999.9,0,2015
63740099999,2015-03-02,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.0,24,48.9,24,9999.9,0,999.9,0,9.3,8,9.7,24,20.0,26.0,86.9, ,55.0, ,0.0,I,999.9,0,2015
63740099999,2015-03-03,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.4,22,47.3,22,9999.9,0,999.9,0,5.9,7,11.9,22,22.9,999.9,84.9, ,55.4,*,0.0,I,999.9,0,2015
63740099999,2015-03-04,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.4,23,46.2,23,9999.9,0,999.9,0,11.2,8,10.1,23,19.0,22.0,86.5, ,50.7, ,0.0,I,999.9,0,2015
63740099999,2015-03-05,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.7,24,44.2,24,9999.9,0,999.9,0,9.7,14,8.8,24,19.0,999.9,87.3, ,54.9, ,0.0,I,999.9,0,2015
63740099999,2015-03-06,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.3,23,44.4,22,9999.9,0,999.9,0,10.2,13,9.4,23,20.0,28.0,86.9, ,52.2, ,0.0,I,999.9,0,2015
63740099999,2015-03-07,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.9,22,45.4,22,9999.9,0,999.9,0,13.2,8,11.3,22,21.0,32.1,88.7, ,57.2,*,0.0,I,999.9,0,2015
63740099999,2015-03-08,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.5,24,44.6,24,9999.9,0,999.9,0,10.7,14,11.3,24,22.0,999.9,88.5, ,56.1, ,0.0,I,999.9,0,2015
63740099999,2015-03-09,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.6,24,47.9,24,9999.9,0,999.9,0,8.5,11,11.5,24,22.0,999.9,86.0, ,56.3, ,0.0,I,999.9,0,2015
63740099999,2015-03-10,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.9,24,48.2,24,9999.9,0,999.9,0,7.9,18,11.5,24,19.0,27.0,84.7, ,55.4,*,0.0,I,999.9,0,2015
63740099999,2015-03-11,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.8,24,48.2,24,9999.9,0,999.9,0,11.9,13,9.5,24,15.9,999.9,86.0, ,54.5, ,0.0,I,999.9,0,2015
63740099999,2015-03-12,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.0,24,53.2,24,9999.9,0,999.9,0,8.8,19,10.4,24,20.0,999.9,85.1, ,57.2,*,0.0,I,999.9,0,2015
63740099999,2015-03-13,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.9,24,56.1,24,9999.9,0,999.9,0,10.0,23,11.3,24,19.0,999.9,83.5, ,58.1, ,0.0,I,999.9,0,2015
63740099999,2015-03-14,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.6,24,50.8,24,9999.9,0,999.9,0,10.1,19,11.0,24,19.0,999.9,81.3, ,57.9, ,0.0,I,999.9,0,2015
63740099999,2015-03-15,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.2,24,48.0,24,9999.9,0,999.9,0,9.9,20,10.3,24,18.1,24.1,84.7, ,54.7, ,0.0,I,999.9,0,2015
63740099999,2015-03-16,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.3,23,53.9,23,9999.9,0,999.9,0,9.5,23,12.0,23,20.0,999.9,85.1, ,57.4, ,0.0,I,999.9,0,2015
